wals code	name	latitude	longitude	genus	family	subfamily	iso codes
nyg	Nyangi	3.41666666667	33.5833333333	Kuliak	Nilo-Saharan	Eastern Sudanic	nyp
nyh	Nyiha	-10	33	Bantoid	Niger-Congo	Benue-Congo	nih
nyi	Nyimang	12.1666666667	29.3333333333	Nyimang	Nilo-Saharan	Eastern Sudanic	nyi
nyk	Nyamkad	32	78.5	Bodic	Sino-Tibetan	Tibeto-Burman	tpq
nyl	Nyelâyu	-20.3333333333	164.333333333	Oceanic	Austronesian	Eastern Malayo-Polynesian	yly
nym	Nyamwezi	-5	33	Bantoid	Niger-Congo	Benue-Congo	nym
nyn	Nyigina	-18	124.333333333	Nyulnyulan	Australian		nyh
nyr	Nyangumarda	-20	121	Pama-Nyungan	Australian		nna
nyu	Nyulnyul	-17	122.833333333	Nyulnyulan	Australian		nyv
nza	Nzakara	5	23	Ubangi	Niger-Congo	Adamawa-Ubangi	nzk
nze	Naga (Zeme)	25.1666666667	93.5	Kuki-Chin-Naga	Sino-Tibetan	Tibeto-Burman	nzm
nzs	New Zealand Sign Language	-43	172	Sign Languages	other		nzs
obg	Ogbronuagum	4.75	6.86666666667	Cross River	Niger-Congo	Benue-Congo	ogu
obk	Obokuitai	-3	138	Lakes Plain	Lakes Plain		afz
obo	Obolo	4.58333333333	7.83333333333	Cross River	Niger-Congo	Benue-Congo	ann
oca	Ocaina	-2.75	-71.75	Huitoto	Huitotoan		oca
occ	Occitan	44	2	Romance	Indo-European		lnc
ocu	Ocuilteco	18.9166666667	-99.6666666667	Otomian	Oto-Manguean		ocu
ogb	Ogbia	4.66666666667	6.25	Cross River	Niger-Congo	Benue-Congo	ogb
oi	Oi	14.8333333333	107.166666667	Bahnaric	Austro-Asiatic	Mon-Khmer	oyb
oir	Oirat	37.5	93	Mongolic	Altaic		xal
oix	Otomí (Ixtenco)	19.0833333333	-97.9166666667	Otomian	Oto-Manguean		otz
oji	Ojibwa (Eastern)	46	-80	Algonquian	Algic		ojg
ojm	Ojibwe (Minnesota)	47.6666666667	-92.5	Algonquian	Algic		ciw
ojs	Ojibwa (Severn)	53	-90	Algonquian	Algic		ojs
oka	Okanagan	49.5	-118.5	Interior Salish	Salishan		oka
oko	Oriya (Kotia)	18.3333333333	83	Indic	Indo-European		ort
oks	Oksapmin	-5.16666666667	142.166666667	Oksapmin	Oksapmin		opm
oku	Oku	6.25	10.5	Bantoid	Niger-Congo	Benue-Congo	oku
olm	Oloh Mangtangai	-0.833333333333	113	Borneo	Austronesian	Western Malayo-Polynesian	nij
olo	Olo	-3.41666666667	142	Wapei-Palei	Torricelli		ong
olu	Olutec	17.95	-95	Mixe-Zoque	Mixe-Zoque		plo
oma	Omagua	-4	-73.5	Tupi-Guaraní	Tupian		omg
omh	Omaha	42	-97.25	Siouan	Siouan		oma
omi	Ömie	-9.05	148.083333333	Koiarian	Trans-New Guinea		aom
ond	Oneida	43	-75.6666666667	Northern Iroquoian	Iroquoian		one
one	One	-3.25	141.916666667	West Wapei	Torricelli		aun
ong	Onge	10.75	92.4166666667	South Andamanese	South Andamanese		oon
onn	Onondaga	42.75	-76.1666666667	Northern Iroquoian	Iroquoian		ono
ono	Ono	-6.16666666667	147.583333333	Finisterre-Huon	Trans-New Guinea		ons
ood	O'odham	32	-112	Tepiman	Uto-Aztecan		ood
ora	Ora (in Nigeria)	7.08333333333	5.91666666667	Edoid	Niger-Congo	Benue-Congo	ema
orb	Oromo (Boraana)	4.5	38.5	Eastern Cushitic	Afro-Asiatic	Cushitic	gax
orc	Oroch	50.3333333333	137.5	Tungusic	Altaic		oac
ord	Ordos	39	109	Mongolic	Altaic		mvf
ore	Orejón	-2.83333333333	-72.5	Tucanoan	Tucanoan		ore
orh	Oromo (Harar)	9	42	Eastern Cushitic	Afro-Asiatic	Cushitic	hae
ori	Orig	12.1666666667	30.8333333333	Rashad	Niger-Congo	Kordofanian	ras
ork	Orok	49.5	143.5	Tungusic	Altaic		oaa
orl	Orokolo	-7.83333333333	145.333333333	Eleman Proper	Eleman		oro
orm	Ormuri	32.5	69.75	Iranian	Indo-European		oru
oro	Orokaiva	-8.83333333333	148.25	Binanderean	Trans-New Guinea		ork
orw	Oromo (Waata)	-3.33333333333	39.8333333333	Eastern Cushitic	Afro-Asiatic	Cushitic	ssn
ory	Orya	-2.75	139.833333333	Orya	Tor-Orya		ury
osa	Osage	37	-94	Siouan	Siouan		osa
osm	Otomí (Santiago Mexquititlan)	20.0833333333	-100.083333333	Otomian	Oto-Manguean		otq
oss	Ossetic	43	44	Iranian	Indo-European		oss
otm	Otomí (Mezquital)	20.1666666667	-99.1666666667	Otomian	Oto-Manguean		ote
oto	Oto	40.5	-96	Siouan	Siouan		iow
otr	Otoro	11.1666666667	30.5	Heiban	Niger-Congo	Kordofanian	otr
ots	Otomí (Sierra)	20.6666666667	-98.8333333333	Otomian	Oto-Manguean		otm
owc	Oromo (West-Central)	9	37	Eastern Cushitic	Afro-Asiatic	Cushitic	gaz
oya	Oriya	21	85	Indic	Indo-European		ori
paa	Pa'a	11	9.25	West Chadic	Afro-Asiatic	Chadic	pqa
pac	Pacoh	16.4166666667	107.083333333	Katuic	Austro-Asiatic	Mon-Khmer	pac
pad	Padoe	-2.33333333333	121.333333333	Sulawesi	Austronesian	Western Malayo-Polynesian	pdo
pae	Páez	2.66666666667	-76	Páezan	Páezan		pbb
pag	Pagu	1.25	127.75	North Halmaheran	West Papuan		pgu
pai	Paiwan	22.5	120.833333333	Paiwanic	Austronesian		pwn
pak	Pakanha	-14.5	142.416666667	Pama-Nyungan	Australian		pkn
pal	Palauan	7.5	134.583333333	Palauan	Austronesian	Western Malayo-Polynesian	pau
pam	Pame	22	-99.5	Pamean	Oto-Manguean		pbs
pan	Panjabi	31	74	Indic	Indo-European		pan
pap	Papiamentu	12.25	-69	Creoles and Pidgins	other		pap
par	Päri	5	32.5	Nilotic	Nilo-Saharan	Eastern Sudanic	lkr
pat	Patep	-6.91666666667	146.583333333	Oceanic	Austronesian	Eastern Malayo-Polynesian	ptp
pau	Paumarí	-6	-64	Arauan	Arauan		pad
paw	Pawaian	-7	145.083333333	Pawaian	Teberan-Pawaian		pwa
pba	Pima Bajo	29	-111	Tepiman	Uto-Aztecan		pia pia
pcm	Pocomam	14.6666666667	-90.5	Mayan	Mayan		poc
pdp	Podopa	-7	144.5	Teberan	Teberan-Pawaian		ppo
pec	Pech	15	-85.5	Paya	Chibchan		pay
pem	Pemon	5.33333333333	-62	Cariban	Cariban		aoc
pen	Pengo	19.8333333333	83.8333333333	South-Central Dravidian	Dravidian		peg
per	Pero	9.58333333333	11	West Chadic	Afro-Asiatic	Chadic	pip
pga	Pilagá	-25	-60	Guaicuruan	Guaicuruan		plg
pgl	Pingilapese	6.21666666667	160.7	Oceanic	Austronesian	Eastern Malayo-Polynesian	pif
phl	Phlong	15	99	Karen	Sino-Tibetan	Tibeto-Burman	pww
pia	Piaroa	5	-67	Piaroa	Sáliban		pid
pil	Pileni	-10.2166666667	166.216666667	Oceanic	Austronesian	Eastern Malayo-Polynesian	piv
pin	Pintupi	-23	129	Pama-Nyungan	Australian		piu
pip	Pipil	13.8333333333	-89.5833333333	Aztecan	Uto-Aztecan		ppl
pir	Piro	-11	-73	Arawakan	Arawakan		pib
pis	Pisa	-5.16666666667	139.166666667	Awju-Dumut	Trans-New Guinea		psa
pit	Pitjantjatjara	-26	130	Pama-Nyungan	Australian		pjt
pkm	Pokomchí	15.4166666667	-90.5	Mayan	Mayan		pob poh
pkn	Paakantyi	-32.5	142.5	Pama-Nyungan	Australian		drl
pkt	Pokot	1.5	35.5	Nilotic	Nilo-Saharan	Eastern Sudanic	pko
pla	Playero	7	-71	Guahiban	Guahiban		gob
plb	Polabian	51	12.8333333333	Slavic	Indo-European		pox
plg	Palaung	22.6666666667	96.6666666667	Palaung-Khmuic	Austro-Asiatic	Mon-Khmer	pce rbb
plh	Paulohi	-3.25	128.75	Central Malayo-Polynesian	Austronesian		plh
plk	Palikur	3	-51	Arawakan	Arawakan		plu
plp	Pulopetak	1.41666666667	109.833333333	Borneo	Austronesian	Western Malayo-Polynesian	nij
plr	Palor	14.8333333333	-16.75	Northern Atlantic	Niger-Congo	Atlantic	fap
pmc	Pomo (Central)	39	-123.333333333	Pomoan	Hokan		poo
pme	Pomo (Eastern)	39	-122.666666667	Pomoan	Hokan		peb
pmn	Pomo (Northern)	39.3333333333	-123.5	Pomoan	Hokan		pej
pms	Paamese	-16.5	168.25	Oceanic	Austronesian	Eastern Malayo-Polynesian	pma
pna	Pamona	-1.75	120.833333333	Sulawesi	Austronesian	Western Malayo-Polynesian	bcx
png	Pangwa	-10	34.75	Bantoid	Niger-Congo	Benue-Congo	pbr
pnn	Pangasinan	15.9166666667	120.333333333	Northern Philippines	Austronesian	Western Malayo-Polynesian	pag
pno	Paiute (Northern)	42	-118	Numic	Uto-Aztecan		pao
